sample_id,label,perturbation,predicted_match,predicted_error_type,reason,correct
positive/sample_025,positive,,True,,"The drawing accurately reflects the text description. The base plate dimensions (751x546) match the top view footprint. The component heights (Dunzhu 221, Chengtai 305, Zhuangji 206) match the elevation views. The 6 circles in a 3x2 grid with radius 53 (diameter 106) and spacings 226/263 match the pile foundations. The single rounded rectangle (249x146, R16) matches the top block footprint. The 'spacing 544' in the text appears to be a minor textual anomaly (possibly a typo for total depth 546 or similar), but the geometric entities and their primary dimensions are correct.",True
negative/sample_001_count_error,negative,count_error,False,scale_error,"The text description states that the horizontal spacing of the 4 circles is 416. However, the drawing shows the horizontal spacing between the two columns (which contain both the circles and the rounded rectangles) is 382. The dimension 416 in the drawing represents the distance from the left edge of the plate to the center line of the first column, not the spacing between the circles.",True
negative/sample_001_scale_error,negative,scale_error,False,scale_error,"The text description states the circle radius is 97, but the drawing shows a diameter of Ø388, which corresponds to a radius of 194.",True
negative/sample_001_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states the horizontal spacing of the circles is 416, but the drawing shows a dimension of 832 (which appears to be the distance between the outer edges of the circles, implying a center-to-center spacing of approximately 638). Additionally, the side view shows 4 blocks for the pile foundation, which contradicts the 2x2 grid layout described (which would show 2 blocks in the side view).",True
negative/sample_002_count_error,negative,count_error,False,count_error,"The text description states there are '6 circle(s) in a 3x2 grid layout', but the top view of the drawing clearly shows only 2 circles.",True
negative/sample_002_scale_error,negative,scale_error,,parse_error,Failed to parse model response: ,False
negative/sample_002_symmetry_error,negative,symmetry_error,False,count_error,"The text specifies 6 circles for the pile foundation, but the front and side views of the pile foundation (bottom section) show a 5x4 grid of vertical lines, implying 20 piles. Additionally, the side view of the top section (Dunzhu) shows a width of 941, which is inconsistent with the top view showing the corresponding rounded rectangles having a depth of only 275.",True
negative/sample_003_count_error,negative,count_error,True,,"The drawing correctly reflects the text description. The base plate dimensions (617x918), the two rounded rectangles (120x206, R28, spacing 276), the four circles (2x2 grid, spacing 302x384, radius 73), and the component heights (228, 272, 329) all match the provided dimensions and layout in the CAD views.",False
negative/sample_003_scale_error,negative,scale_error,False,scale_error,"The text description states that the rounded rectangles are '120 wide', but the CAD drawing includes a dimension '240' which corresponds to the width of these rectangles. Additionally, the text specifies the circles should have a 'dashed line style', but they are drawn with solid lines in the top view.",True
negative/sample_003_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes the 4 circles with a horizontal spacing of 302. Given the plate width of 617, a spacing of 302 would place the circles near the center (overlapping with the central rounded rectangles). However, the drawing shows the circles positioned near the left and right edges (implying a spacing close to 617). Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines in the rendering.",True
negative/sample_004_count_error,negative,count_error,False,count_error,"The text states there are 6 circles in a 3x2 grid, but the drawing shows only 4 circles and 2 rounded rectangles in that grid arrangement.",True
negative/sample_004_scale_error,negative,scale_error,False,scale_error,"The text description states the rounded rectangles are 217 wide, but the drawing indicates a width of 152.",True
negative/sample_004_symmetry_error,negative,symmetry_error,False,count_error,"The Side View depicts 4 pile foundations, which contradicts the Top View's 3x2 grid of circles (implying 2 rows) and the Front View's 3 piles. Additionally, the top structure in the Side View appears to span the full depth, contradicting the 142mm depth of the rounded rectangles.",True
negative/sample_005_count_error,negative,count_error,False,count_error,"The text description states there are '2 rounded rectangle(s)', but the drawing clearly shows only 1 central rounded rectangle in the top view.",True
negative/sample_005_scale_error,negative,scale_error,False,count_error,"The text describes a 3x3 grid of circles (9 circles), which implies 3 piles along the depth. However, the Side View shows 5 vertical sections (piles) in the bottom part, contradicting the 3x3 grid layout. Additionally, the text describes 2 small rounded rectangles (148x136) for the piers, but the Side View shows a full-width block (751) and the Top View shows large U-shaped features that do not match the specified dimensions.",True
negative/sample_005_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states that the 2 rounded rectangles have a spacing of 276. However, the drawing shows a dimension of 193 from the centerline to the outer edge of the rounded rectangle. If the spacing were 276 (center-to-center), the outer edge would be at 138 + 74 = 212. The dimension 193 implies a center-to-center spacing of 238, which contradicts the text.",True
negative/sample_006_count_error,negative,count_error,False,count_error,"The text describes '1 rounded rectangle(s) arranged horizontally with spacing 496', which implies multiple items or a specific layout not present in the drawing (which shows 1 central rounded rectangle). Additionally, the text states the circles have a 'dashed line style', but they are drawn with solid lines in the top view. The side view top section also appears to show 3 blocks, contradicting the '1 rounded rectangle' description.",True
negative/sample_006_scale_error,negative,scale_error,False,scale_error,"The text description specifies a base plate height of 849 and a spacing of 496, which do not match the drawing. The drawing shows a total height of 803 (223+252+328) and a length of 1274. The circle spacings are 394 and 414, not 496. Additionally, the text describes the circles as having a 'dashed line style', but they are drawn with solid lines.",True
negative/sample_006_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states that the circles have a 'dashed line style', but they are drawn as solid lines in the top view. Additionally, the text mentions a 'spacing 496' for the rounded rectangle, which is not present in the drawing's dimensions (the relevant dimensions are 159, 213, 394, 414).",True
negative/sample_007_count_error,negative,count_error,False,count_error,"The text describes 6 circles in a 3x2 grid layout with dashed lines, but the drawing shows only 3 circles arranged in a single horizontal row with solid lines.",True
negative/sample_007_scale_error,negative,scale_error,True,,"The drawing dimensions and object counts match the text description. Base plate 608x986, 2 rounded rectangles (196x309, R30) with center-to-center spacing 293, 6 circles (R51) with horizontal spacing 178 and vertical spacing 409. Vertical sections 255, 232, 299 match. Note: Text mentions 'dashed line style' for circles, but drawing shows solid lines; however, this is a stylistic difference, not a geometric discrepancy in count, size, or symmetry.",False
negative/sample_007_symmetry_error,negative,symmetry_error,True,,,False
negative/sample_008_count_error,negative,count_error,False,count_error,"The text describes '4 circle(s) in a 2x2 grid layout', but the drawing shows a vertical column of circular features (appearing to be 3 circles) with vertical spacing, not a 2x2 grid. Additionally, the text mentions horizontal spacing for the circles, whereas the drawing indicates vertical spacing (265).",True
negative/sample_008_scale_error,negative,scale_error,True,,"The drawing matches the text description. The base plate dimensions (955x541), the 4 circles (radius 99, spacing 463x265), the single rounded rectangle (radius 24, height 168), and the vertical component heights (294, 315, 380) are all consistent with the provided views and dimensions.",False
negative/sample_008_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states that the horizontal spacing of the 4 circles is 463, but the engineering drawing clearly labels the horizontal center-to-center spacing of the circles as 324.",True
negative/sample_009_count_error,negative,count_error,False,count_error,"The text description specifies '6 circle(s)', but the drawing shows significantly more circles (at least 12 visible in the top view, arranged in 4 rows of 3, plus the side view implies a 3x5 grid of 15 piles). Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines.",True
negative/sample_009_scale_error,negative,scale_error,False,scale_error,"The drawing shows the height of the middle section (Chengtai/bearing platform) as 512, whereas the text description states it is 256. Additionally, the circles are depicted with solid lines in the drawing, contradicting the 'dashed line style' mentioned in the text.",True
negative/sample_009_symmetry_error,negative,symmetry_error,False,scale_error,"The text states the vertical spacing of the circles is 325, but the drawing shows a dimension of 650 between the centers of the top and bottom rows of circles. Additionally, the text specifies a dashed line style for the circles, whereas they are drawn as solid lines.",True
negative/sample_010_count_error,negative,count_error,False,count_error,"The text description states there are '2 rounded rectangle(s)', but the top view of the drawing clearly shows only 1 rounded rectangle in the center. All other dimensions (base plate size, circle count/grid/size, component heights) match correctly.",True
negative/sample_010_scale_error,negative,scale_error,False,scale_error,"The text description states the rectangular base plate has a width of 711, but the engineering drawing clearly labels the total width of the main plate (and the top/front view) as 1066. The height/depth of 885 matches, but the width is incorrect.",True
negative/sample_010_symmetry_error,negative,symmetry_error,False,count_error,"The text description states there are '2 rounded rectangle(s) arranged horizontally with spacing 304', but the drawing (specifically the top view) shows only a single central rounded rectangle feature with a width of 164. The drawing does not depict two separate rectangles with the specified spacing.",True
negative/sample_011_count_error,negative,count_error,False,count_error,"The drawing displays 15 circles (arranged in 5 rows of 3: 3 outside the top, 3x3 inside the base plate, and 3 outside the bottom), whereas the text description states there are only 9 circles.",True
negative/sample_011_scale_error,negative,scale_error,False,scale_error,"The text description states the 'Chengtai (bearing platform) height' is 272, but the engineering drawing clearly labels the corresponding middle section height as 544.",True
negative/sample_011_symmetry_error,negative,symmetry_error,False,count_error,"The text describes '2 rounded rectangles' with a height of 193, which corresponds to the feature in the middle row of the top view. However, the drawing shows a single large rounded rectangle feature (spanning approximately 650 units wide to cover three circles), not two separate rectangles of width 234. Furthermore, the described dimensions (two rectangles of width 234 with spacing 370) would result in a total width exceeding the base plate width of 776, which is geometrically impossible.",True
negative/sample_012_count_error,negative,count_error,False,count_error,"The text description states there are '2 circle(s)', but the drawing only shows 1 circle (diameter 166) in the top view.",True
negative/sample_012_scale_error,negative,scale_error,False,scale_error,"The drawing shows the middle section height as 188, whereas the text description specifies the 'Chengtai (bearing platform) height' as 269.",True
negative/sample_012_symmetry_error,negative,symmetry_error,False,symmetry_error,"The text description states the circles have 'horizontal spacing' and are in a '1x2 grid' (implying horizontal), and the rounded rectangle is 'arranged horizontally'. However, the drawing clearly shows a vertical arrangement of the two circles and the central feature. Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines in the rendering.",True
negative/sample_013_count_error,negative,count_error,False,count_error,"The text describes 6 circles in a 3x2 grid, but the drawing shows only 3 circles in a single row. Additionally, the text states the 2 rounded rectangles have a spacing of 389, but in the drawing, the two rounded rectangles (left and right) are spaced approximately 649 apart (260 + 389), while the middle circle is spaced 389 from the right rounded rectangle.",True
negative/sample_013_scale_error,negative,scale_error,True,,"The drawing dimensions and layout match the text description. The base plate is 881x533. The 6 circles are in a 3x2 grid with spacing 260 and diameter 124 (radius 62). The 2 rounded rectangles have width 273 and radius 17. The vertical heights for the pier column (378), bearing platform (347), and pile foundation (306) match the elevation views. The dimension '389' in the drawing corresponds to the 'spacing 389' mentioned in the text (indicating the offset of the outer rounded rectangles from the center).",False
negative/sample_013_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes two rounded rectangles of width 273 with spacing 389, which would require a total width of 935 (273+389+273), exceeding the plate width of 881. The drawing shows a dimension of 389 which likely represents the distance between the middle and right circle columns (creating an asymmetric layout with spacings 260 and 389), whereas the text implies uniform horizontal spacing of 260. Additionally, the text states a vertical spacing of 224, while the drawing's vertical dimensions (157 and 156 margins) imply a spacing of approximately 220 (533 - 157 - 156).",True
negative/sample_014_count_error,negative,count_error,False,count_error,"The text describes 6 circles in a 3x2 grid, but the drawing shows 10 circles (arranged in a 5x2 grid, with 3 columns inside the main plate and 2 columns outside on each side). Additionally, the text specifies 'dashed line style' for the circles, whereas the drawing shows them as solid lines.",True
negative/sample_014_scale_error,negative,scale_error,False,scale_error,"The text describes a base plate with height 619, but the drawing shows a total length of 1238 (which is exactly double 619). Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines in the rendering.",True
negative/sample_014_symmetry_error,negative,symmetry_error,True,,"All geometric features, counts, dimensions, and symmetries described in the text are correctly represented in the drawing. The base plate dimensions (640x619), component heights (303, 383, 337), circle grid (3x2, spacing 210x305, radius 72), and rounded rectangles (2, 144x155, R24, spacing 261) all match the visual evidence.",False
negative/sample_015_count_error,negative,count_error,False,count_error,"The text description states there are '6 circle(s) in a 3x2 grid layout' with 'dashed line style', but the drawing clearly shows only 2 circles arranged vertically in a single column with solid lines. Additionally, the side view shows 3 sections at the top and 4 at the bottom, which contradicts the '3x2 grid' description.",True
negative/sample_015_scale_error,negative,scale_error,False,scale_error,"The text describes a 'rounded rectangle' arranged horizontally with dimensions 236x279 and spacing 588, but the drawing shows a vertical slot connecting the central circles with different dimensions (approx. 74x436) and orientation. Additionally, the text states the circles are 'dashed line style', but they are drawn as solid lines.",True
negative/sample_015_symmetry_error,negative,symmetry_error,,parse_error,"Failed to parse model response: The text description and the engineering drawing show strong agreement on the key geometric parameters:
- **Base Plate:** The text specifies a width of 920 and height of 961. The Top View shows an out",False
negative/sample_016_count_error,negative,count_error,False,count_error,"The text description states there are '3 circle(s)', but the top view of the drawing shows only 2 circles (one at the top, one at the bottom) and 1 rounded rectangle in the middle. Additionally, the text describes the rounded rectangle as being 'arranged horizontally', while the drawing shows it in a vertical column with the circles.",True
negative/sample_016_scale_error,negative,scale_error,False,scale_error,"The text describes a horizontal arrangement with spacing 467 and 586, and a corner radius of 17, while the drawing shows a vertical arrangement with vertical spacing 290, a corner radius of R26, and solid lines instead of dashed.",True
negative/sample_016_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes a horizontal arrangement with spacing 467 and 586, but the drawing shows a vertical arrangement with a dimension of 435. Additionally, the text specifies dashed lines for circles, but they are solid in the drawing.",True
negative/sample_017_count_error,negative,count_error,True,,"The text description accurately reflects the geometric dimensions and counts in the drawing: base plate width 587 and depth 890, 1 rounded rectangle (126x238, R17), 6 circles in a 2x3 grid (spacing 283x270, radius 50), and component heights (316, 365, 236). The dimension '586' mentioned in the text corresponds to a dimension label in the drawing. Although the text mentions 'dashed line style' for circles (which appear solid in the top view), this is a stylistic detail rather than a geometric discrepancy in count, size, or symmetry.",False
negative/sample_017_scale_error,negative,scale_error,False,scale_error,"The text description states the 'Zhuangji (pile foundation) height' is 236, but the engineering drawing clearly labels the height of the bottom section (the pile foundation area) as 354. Additionally, the text describes the circles as having a 'dashed line style', but they are drawn with solid lines in the top view.",True
negative/sample_017_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes the circles as having a 'dashed line style', but the drawing shows them as solid lines. Additionally, the text mentions a 'spacing 586' for the single rounded rectangle, which is not present in the drawing and appears to be an incorrect dimension (the plate width is 587).",True
negative/sample_018_count_error,negative,count_error,False,symmetry_error,"The text describes 3 circles in a 1x3 grid layout with horizontal spacing 617, but the drawing shows a vertical arrangement where the bottom circle is offset (breaking the grid symmetry). Additionally, the circles are drawn with solid lines, not dashed as described, and the dimension 617 does not appear to correspond to any feature spacing in the drawing.",True
negative/sample_018_scale_error,negative,scale_error,False,scale_error,"The text description specifies circles with a radius of 50 and dashed line style. However, the drawing shows circles with a diameter of 30 (radius 15) and they are drawn with solid lines.",True
negative/sample_018_symmetry_error,negative,symmetry_error,False,scale_error,"The text specifies a spacing of 280 for the rounded rectangles, but the drawing shows a dimension of 280 spanning the total width of the pair (implying a small gap). The text specifies a horizontal spacing of 617 for the circles, but the circles are arranged vertically in the drawing.",True
negative/sample_019_count_error,negative,count_error,False,scale_error,"The text description contains geometrically impossible dimensions and layout errors compared to the drawing. Specifically, the text states 'horizontal spacing 649' and 'spacing 580' for the rounded rectangle, which are inconsistent with the plate width of 681 and the vertical arrangement seen in the drawing. Additionally, the text specifies 'dashed line style' for the circles, but the drawing shows solid lines. The text also implies a horizontal arrangement ('arranged horizontally', 'horizontal spacing') while the drawing shows a vertical stack of features.",True
negative/sample_019_scale_error,negative,scale_error,False,scale_error,"The drawing shows the base plate width as 1362, while the text states 681. Additionally, the circles are arranged vertically with a vertical spacing of 197, whereas the text describes a horizontal arrangement with horizontal spacing 649.",True
negative/sample_019_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states 'horizontal spacing 649' and 'spacing 580', but the drawing shows a vertical arrangement with 'vertical spacing 197' and no such horizontal spacing or 580 spacing. Additionally, the text describes the features as 'arranged horizontally', while the drawing shows a vertical arrangement.",True
negative/sample_020_count_error,negative,count_error,False,count_error,"The text description states there is '1 rounded rectangle', but the drawing clearly shows two rounded rectangles (one on the left and one on the right) in the top view. Additionally, the text describes the circles in a '1x2 grid' with 'horizontal spacing', but the drawing shows them arranged vertically (2x1 grid) with vertical spacing.",True
negative/sample_020_scale_error,negative,scale_error,False,scale_error,"The text description states the circles have a radius of 67, but the engineering drawing explicitly labels the circle diameter as Ø94 (which implies a radius of 47).",True
negative/sample_020_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes '2 circles' with 'horizontal spacing 392'. Given the base plate width of 534 and circle diameter of 134 (radius 67), placing two circles side-by-side with 392 spacing would require a width of at least 134 + 392 + 134 = 660, which exceeds the available width. Additionally, the text attributes 'spacing 503' to a single rounded rectangle, while the drawing shows a vertical stack of features where the vertical distance between the two circles is approximately 503 (calculated from section heights 220+224+167.5 ≈ 611? No, center-to-center is roughly 503). The text's 'vertical spacing 335' corresponds to the height of the bottom section (Zhuangji), not the spacing between circles.",True
negative/sample_021_count_error,negative,count_error,False,count_error,"The text description states there are 6 circles in a 2x3 grid layout. However, the drawing clearly shows 9 circles arranged in a 3x3 grid (3 columns of 3 circles each).",True
negative/sample_021_scale_error,negative,scale_error,False,scale_error,"The text description specifies a circle radius of 87, but the drawing shows a diameter of 260 (which corresponds to a radius of 130).",True
negative/sample_021_symmetry_error,negative,symmetry_error,False,scale_error,"The text description states that the 6 circles have a horizontal spacing of 436. Given the base plate width of 939 and the rounded rectangles' spacing of 440, a circle spacing of 436 would place the circles near the center, largely overlapping with the horizontal span of the rounded rectangles. However, the drawing shows the circles positioned at the far left and right edges of the plate, indicating a much larger horizontal spacing (approximately 600+).",True
negative/sample_022_count_error,negative,count_error,False,count_error,"The text describes 6 circles in a 3x2 grid layout, but the drawing shows only 2 circles in the top view. Additionally, the text specifies dashed lines for the circles, while the drawing shows solid lines. The side view bottom section shows 4 vertical strips, which does not match the described 3x2 grid of 6 circles.",True
negative/sample_022_scale_error,negative,scale_error,False,scale_error,"The text description specifies a circle radius of 71, but the drawing shows a diameter of 72 (which corresponds to a radius of 36). Additionally, the text describes the circles with a 'dashed line style', whereas the drawing depicts them with solid lines.",True
negative/sample_022_symmetry_error,negative,symmetry_error,False,scale_error,"The text describes the circles with a horizontal spacing of 218, which would mean they do not overlap (diameter is 142). However, the drawing shows the circles overlapping significantly, indicating a much smaller horizontal spacing. Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines.",True
negative/sample_023_count_error,negative,count_error,False,count_error,"The text description states there are '9 circle(s) in a 3x3 grid layout', but the drawing (specifically the top view) only shows 3 circles (one on the left, one inside the rounded rectangle, one on the right) and no grid structure. Additionally, the text specifies 'dashed line style' for the circles, but they are drawn with solid lines.",True
negative/sample_023_scale_error,negative,scale_error,False,scale_error,"The text describes a rounded rectangle with height 194 and spacing 922, but the drawing shows a slot with radius R27 (implying a width of 54) and no dimension 922. Additionally, the circles are drawn with solid lines, whereas the text specifies 'dashed line style'.",True
negative/sample_023_symmetry_error,negative,symmetry_error,False,scale_error,"The text specifies a vertical spacing of 321 for the circles, but the drawing shows them much closer together (fitting within a 194mm high rounded rectangle, implying a much smaller spacing). Additionally, the text specifies dashed lines for the circles, but they are drawn as solid lines.",True
negative/sample_024_count_error,negative,count_error,False,count_error,"The text specifies 1 rounded rectangle, but the drawing shows 2 (slots on the left and right edges). Additionally, the text describes the circles as having a dashed line style, but they are solid in the drawing. The spacing 530 is attributed to the rounded rectangles in the text, but in the drawing, it indicates the spacing of the feet.",True
negative/sample_024_scale_error,negative,scale_error,False,scale_error,"The drawing shows the pier column (Dunzhu) height as 700 (indicated by the dimension spanning the upper section), whereas the text description states the height is 350. Additionally, the text describes the circles and rounded rectangle with 'dashed line style', but they are drawn with solid lines in the top view.",True
negative/sample_024_symmetry_error,negative,symmetry_error,True,,"The drawing accurately reflects the text description. The base plate dimensions (566x829), the vertical component heights (350, 265, 268), the single rounded rectangle (138x141, R21), and the four circles (radius 62, spacing 261x407) all match the provided dimensions and layout. The 'spacing 530' and 'dashed line' mentions in the text appear to be minor descriptive errors or template artifacts, but the core geometric data is consistent.",False
negative/sample_025_count_error,negative,count_error,False,count_error,"The text description specifies '6 circle(s) in a 3x2 grid layout' with 'dashed line style', but the drawing clearly shows only 3 circles (one left, one center inside a rounded rectangle, one right) arranged in a single horizontal row with solid lines.",True
negative/sample_025_scale_error,negative,scale_error,False,scale_error,"The text description states 'Dunzhu (pier column) height: 221', but the drawing shows the corresponding top feature has a height of 66. Additionally, the text specifies 'dashed line style' for the circles, while the drawing shows them as solid lines.",True
negative/sample_025_symmetry_error,negative,symmetry_error,False,scale_error,"The text specifies a vertical spacing of 263 for the circles, but the drawing shows the circles contained within a rounded rectangle of height 146, with a dimension of 146 indicating the vertical distance between the circle centers. Additionally, the text describes the circles with a dashed line style, whereas they are drawn as solid lines.",True
